video,id,category,category_code,nframes
/data/stars/user/yaowang/data/MUG/data/074/neutral/take001,74,neutral,4,14
/data/stars/user/yaowang/data/MUG/data/074/neutral/take000,74,neutral,4,23
/data/stars/user/yaowang/data/MUG/data/070/neutral/take000,70,neutral,4,14
/data/stars/user/yaowang/data/MUG/data/039/neutral/take002,39,neutral,4,25
/data/stars/user/yaowang/data/MUG/data/036/neutral/take001,36,neutral,4,21
/data/stars/user/yaowang/data/MUG/data/036/neutral/take000,36,neutral,4,29
/data/stars/user/yaowang/data/MUG/data/048/neutral/take000,48,neutral,4,28
/data/stars/user/yaowang/data/MUG/data/027/neutral/take000,27,neutral,4,29
/data/stars/user/yaowang/data/MUG/data/002/session0/neutral/take000,2,neutral,4,19
/data/stars/user/yaowang/data/MUG/data/033/neutral/take001,33,neutral,4,33
/data/stars/user/yaowang/data/MUG/data/007/neutral/take001,7,neutral,4,23
/data/stars/user/yaowang/data/MUG/data/007/neutral/take000,7,neutral,4,29
/data/stars/user/yaowang/data/MUG/data/031/neutral/take001,31,neutral,4,50
/data/stars/user/yaowang/data/MUG/data/061/neutral/take000,61,neutral,4,17
/data/stars/user/yaowang/data/MUG/data/030/neutral/take000,30,neutral,4,74
/data/stars/user/yaowang/data/MUG/data/079/neutral/take000,79,neutral,4,29
/data/stars/user/yaowang/data/MUG/data/072/neutral/take000,72,neutral,4,20
/data/stars/user/yaowang/data/MUG/data/001/neutral/take004,1,neutral,4,32
/data/stars/user/yaowang/data/MUG/data/020/neutral/take000,20,neutral,4,36
/data/stars/user/yaowang/data/MUG/data/008/neutral/take000,8,neutral,4,41
/data/stars/user/yaowang/data/MUG/data/082/neutral/take000,82,neutral,4,22
/data/stars/user/yaowang/data/MUG/data/010/neutral/take000,10,neutral,4,43
/data/stars/user/yaowang/data/MUG/data/071/neutral/take000,71,neutral,4,23
/data/stars/user/yaowang/data/MUG/data/075/neutral/take000,75,neutral,4,23
/data/stars/user/yaowang/data/MUG/data/043/neutral/take000,43,neutral,4,18
/data/stars/user/yaowang/data/MUG/data/063/neutral/take000,63,neutral,4,12
/data/stars/user/yaowang/data/MUG/data/049/session0/neutral/take000,49,neutral,4,15
/data/stars/user/yaowang/data/MUG/data/049/session1/neutral/take000,49,neutral,4,25
/data/stars/user/yaowang/data/MUG/data/028/neutral/take000,28,neutral,4,28
/data/stars/user/yaowang/data/MUG/data/046/neutral/take000,46,neutral,4,33
/data/stars/user/yaowang/data/MUG/data/032/neutral/take000,32,neutral,4,29
/data/stars/user/yaowang/data/MUG/data/013/neutral/take000,13,neutral,4,40
/data/stars/user/yaowang/data/MUG/data/084/neutral/take000,84,neutral,4,24
/data/stars/user/yaowang/data/MUG/data/066/neutral/take000,66,neutral,4,46
/data/stars/user/yaowang/data/MUG/data/006/neutral/take000,6,neutral,4,37
/data/stars/user/yaowang/data/MUG/data/038/neutral/take000,38,neutral,4,22
/data/stars/user/yaowang/data/MUG/data/021/neutral/take000,21,neutral,4,31
/data/stars/user/yaowang/data/MUG/data/052/neutral/take000,52,neutral,4,36
/data/stars/user/yaowang/data/MUG/data/062/neutral/take000,62,neutral,4,26
/data/stars/user/yaowang/data/MUG/data/040/neutral/take000,40,neutral,4,14
/data/stars/user/yaowang/data/MUG/data/014/neutral/take000,14,neutral,4,20
/data/stars/user/yaowang/data/MUG/data/044/neutral/take000,44,neutral,4,38
/data/stars/user/yaowang/data/MUG/data/077/neutral/take000,77,neutral,4,18
/data/stars/user/yaowang/data/MUG/data/076/neutral/take000,76,neutral,4,20
/data/stars/user/yaowang/data/MUG/data/037/neutral/take000,37,neutral,4,21
